"","K","logLik","AICc","delta","weight","Model"
"6",12,-53.44,133.43,0,0.609,"Trait + F0 Parent Exposed"
"5",11,-55.38,134.92,1.483,0.29,"Trait"
"8",14,-53.18,137.87,4.433,0.066,"Trait + Offspring Sex + F0 Parent Exposed"
"7",13,-55.1,139.21,5.779,0.034,"Trait + Offspring Sex"
"2",5,-86.21,182.89,49.456,0,"F0 Parent Exposed"
"4",7,-85.45,185.79,52.354,0,"F0 Parent Exposed + Offspring Sex"
"1",4,-89.44,187.18,53.751,0,"Intercept-only (no moderators)"
"3",6,-88.96,190.58,57.143,0,"Offspring Sex"
